,Var1,Var2,bray,TreatmentGroup
42,AZ-3_S152,AZ-11_S136,0.621000986505687,Plaque
43,AZ-4_S153,AZ-11_S136,0.612845753373325,Plaque
44,AZ-5_S154,AZ-11_S136,0.5911435407134,Plaque
45,AZ-6_S155,AZ-11_S136,0.59749474059639,Plaque
46,AZ-7_S156,AZ-11_S136,0.599675284542126,Plaque
47,AZ-9_S157,AZ-11_S136,0.643398956435284,Plaque
48,ML-8_S158,AZ-11_S136,0.668318920188352,Plaque
52,AZ-13_S138,AZ-12_S137,0.759302319253702,Plaque
53,AZ-14_S139,AZ-12_S137,0.661723145556556,Plaque
54,Az-15_S140,AZ-12_S137,0.736900462033507,Plaque
55,AZ-16_S141,AZ-12_S137,0.670061748885208,Plaque
56,AZ-17_S142,AZ-12_S137,0.676242998096034,Plaque
57,AZ-18_S143,AZ-12_S137,0.657047645140117,Plaque
58,AZ-19_S144,AZ-12_S137,0.722171297854844,Plaque
59,AZ-2_S145,AZ-12_S137,0.669584187715362,Plaque
60,AZ-20_S146,AZ-12_S137,0.639798140843143,Plaque
61,AZ-21_S147,AZ-12_S137,0.641129752215697,Plaque
62,AZ-22_S148,AZ-12_S137,0.66336999566918,Plaque
63,AZ-23_S149,AZ-12_S137,0.664270995025999,Plaque
64,AZ-24_S150,AZ-12_S137,0.699129394884888,Plaque
65,AZ-25_S151,AZ-12_S137,0.596414807533928,Plaque
66,AZ-3_S152,AZ-12_S137,0.680029997054675,Plaque
67,AZ-4_S153,AZ-12_S137,0.653734754198645,Plaque
68,AZ-5_S154,AZ-12_S137,0.675362754257602,Plaque
69,AZ-6_S155,AZ-12_S137,0.670272316325722,Plaque
70,AZ-7_S156,AZ-12_S137,0.648408778787972,Plaque
71,AZ-9_S157,AZ-12_S137,0.636928190468234,Plaque
72,ML-8_S158,AZ-12_S137,0.715401728298252,Plaque
77,AZ-14_S139,AZ-13_S138,0.7092793140068,Plaque
78,Az-15_S140,AZ-13_S138,0.737968477180557,Plaque
79,AZ-16_S141,AZ-13_S138,0.712342758081268,Plaque
80,AZ-17_S142,AZ-13_S138,0.70923162697012,Plaque
81,AZ-18_S143,AZ-13_S138,0.79848348147389,Plaque
82,AZ-19_S144,AZ-13_S138,0.681407260516383,Plaque
83,AZ-2_S145,AZ-13_S138,0.768788385999952,Plaque
84,AZ-20_S146,AZ-13_S138,0.711863819262544,Plaque
85,AZ-21_S147,AZ-13_S138,0.73322928109471,Plaque
86,AZ-22_S148,AZ-13_S138,0.721441516619702,Plaque
87,AZ-23_S149,AZ-13_S138,0.710292934305117,Plaque
88,AZ-24_S150,AZ-13_S138,0.726327054188994,Plaque
89,AZ-25_S151,AZ-13_S138,0.770573581341306,Plaque
90,AZ-3_S152,AZ-13_S138,0.699361159923438,Plaque
91,AZ-4_S153,AZ-13_S138,0.766998995500571,Plaque
92,AZ-5_S154,AZ-13_S138,0.68825034894527,Plaque
93,AZ-6_S155,AZ-13_S138,0.718429529276488,Plaque
94,AZ-7_S156,AZ-13_S138,0.688892677988624,Plaque
95,AZ-9_S157,AZ-13_S138,0.709964583091741,Plaque
96,ML-8_S158,AZ-13_S138,0.685344346142278,Plaque
102,Az-15_S140,AZ-14_S139,0.627906771243916,Plaque
103,AZ-16_S141,AZ-14_S139,0.662181058350992,Plaque
104,AZ-17_S142,AZ-14_S139,0.63770418845606,Plaque
105,AZ-18_S143,AZ-14_S139,0.699699318840848,Plaque
106,AZ-19_S144,AZ-14_S139,0.656746752407691,Plaque
107,AZ-2_S145,AZ-14_S139,0.650092148184218,Plaque
108,AZ-20_S146,AZ-14_S139,0.640602093168464,Plaque
109,AZ-21_S147,AZ-14_S139,0.575915350866929,Plaque
110,AZ-22_S148,AZ-14_S139,0.582060355679151,Plaque
111,AZ-23_S149,AZ-14_S139,0.648854287611517,Plaque
112,AZ-24_S150,AZ-14_S139,0.629016332850178,Plaque
113,AZ-25_S151,AZ-14_S139,0.619605597774715,Plaque
114,AZ-3_S152,AZ-14_S139,0.622844182138131,Plaque
115,AZ-4_S153,AZ-14_S139,0.601033495707789,Plaque
116,AZ-5_S154,AZ-14_S139,0.584308884479764,Plaque
117,AZ-6_S155,AZ-14_S139,0.573065256462951,Plaque
118,AZ-7_S156,AZ-14_S139,0.579477307430446,Plaque
119,AZ-9_S157,AZ-14_S139,0.601925033135345,Plaque
120,ML-8_S158,AZ-14_S139,0.638243052116827,Plaque
127,AZ-16_S141,Az-15_S140,0.706337416958135,Plaque
128,AZ-17_S142,Az-15_S140,0.661906492144057,Plaque
129,AZ-18_S143,Az-15_S140,0.771798848637908,Plaque
130,AZ-19_S144,Az-15_S140,0.683882541623435,Plaque
131,AZ-2_S145,Az-15_S140,0.792845111369348,Plaque
132,AZ-20_S146,Az-15_S140,0.713802518703782,Plaque
133,AZ-21_S147,Az-15_S140,0.627968786005831,Plaque
134,AZ-22_S148,Az-15_S140,0.655763229279416,Plaque
135,AZ-23_S149,Az-15_S140,0.748137400518152,Plaque
136,AZ-24_S150,Az-15_S140,0.678346286180548,Plaque
137,AZ-25_S151,Az-15_S140,0.692311722810361,Plaque
138,AZ-3_S152,Az-15_S140,0.666017811827955,Plaque
139,AZ-4_S153,Az-15_S140,0.667105953122308,Plaque
140,AZ-5_S154,Az-15_S140,0.610303143168242,Plaque
141,AZ-6_S155,Az-15_S140,0.66064135214293,Plaque
142,AZ-7_S156,Az-15_S140,0.634588251424436,Plaque
143,AZ-9_S157,Az-15_S140,0.696742664414123,Plaque
144,ML-8_S158,Az-15_S140,0.683002138549556,Plaque
152,AZ-17_S142,AZ-16_S141,0.696760787681799,Plaque
153,AZ-18_S143,AZ-16_S141,0.715656880687661,Plaque
154,AZ-19_S144,AZ-16_S141,0.671395382409835,Plaque
155,AZ-2_S145,AZ-16_S141,0.721379913896268,Plaque
156,AZ-20_S146,AZ-16_S141,0.738919188311244,Plaque
157,AZ-21_S147,AZ-16_S141,0.664598225980119,Plaque
158,AZ-22_S148,AZ-16_S141,0.690684615770023,Plaque
159,AZ-23_S149,AZ-16_S141,0.662536707789944,Plaque
160,AZ-24_S150,AZ-16_S141,0.685240025932331,Plaque
161,AZ-25_S151,AZ-16_S141,0.675862583160416,Plaque
162,AZ-3_S152,AZ-16_S141,0.662529435665089,Plaque
163,AZ-4_S153,AZ-16_S141,0.685552624995024,Plaque
164,AZ-5_S154,AZ-16_S141,0.662404163491225,Plaque
165,AZ-6_S155,AZ-16_S141,0.668906685861578,Plaque
166,AZ-7_S156,AZ-16_S141,0.658672273236164,Plaque
167,AZ-9_S157,AZ-16_S141,0.63109134769505,Plaque
168,ML-8_S158,AZ-16_S141,0.696653868475577,Plaque
177,AZ-18_S143,AZ-17_S142,0.684103497447927,Plaque
178,AZ-19_S144,AZ-17_S142,0.687844655710247,Plaque
179,AZ-2_S145,AZ-17_S142,0.71229050474787,Plaque
180,AZ-20_S146,AZ-17_S142,0.651334803782902,Plaque
181,AZ-21_S147,AZ-17_S142,0.691920370129918,Plaque
182,AZ-22_S148,AZ-17_S142,0.640934318546974,Plaque
183,AZ-23_S149,AZ-17_S142,0.677896496182031,Plaque
184,AZ-24_S150,AZ-17_S142,0.735580010342477,Plaque
185,AZ-25_S151,AZ-17_S142,0.686890075557226,Plaque
186,AZ-3_S152,AZ-17_S142,0.62926808345748,Plaque
187,AZ-4_S153,AZ-17_S142,0.65799509159476,Plaque
188,AZ-5_S154,AZ-17_S142,0.613341134219396,Plaque
189,AZ-6_S155,AZ-17_S142,0.626584788932094,Plaque
190,AZ-7_S156,AZ-17_S142,0.644234425453123,Plaque
191,AZ-9_S157,AZ-17_S142,0.677021204417302,Plaque
192,ML-8_S158,AZ-17_S142,0.689473716404182,Plaque
202,AZ-19_S144,AZ-18_S143,0.77627435341882,Plaque
203,AZ-2_S145,AZ-18_S143,0.651016493894509,Plaque
204,AZ-20_S146,AZ-18_S143,0.643043458787716,Plaque
205,AZ-21_S147,AZ-18_S143,0.748738598382677,Plaque
206,AZ-22_S148,AZ-18_S143,0.684225139541687,Plaque
207,AZ-23_S149,AZ-18_S143,0.693194080146929,Plaque
208,AZ-24_S150,AZ-18_S143,0.801671517297213,Plaque
209,AZ-25_S151,AZ-18_S143,0.670285235211735,Plaque
210,AZ-3_S152,AZ-18_S143,0.693144340122752,Plaque
211,AZ-4_S153,AZ-18_S143,0.669515022968156,Plaque
212,AZ-5_S154,AZ-18_S143,0.723032749441702,Plaque
213,AZ-6_S155,AZ-18_S143,0.698480489810537,Plaque
214,AZ-7_S156,AZ-18_S143,0.679341483212356,Plaque
215,AZ-9_S157,AZ-18_S143,0.730005916005304,Plaque
216,ML-8_S158,AZ-18_S143,0.829724715963939,Plaque
227,AZ-2_S145,AZ-19_S144,0.759444698978572,Plaque
228,AZ-20_S146,AZ-19_S144,0.672820439105622,Plaque
229,AZ-21_S147,AZ-19_S144,0.68426869411871,Plaque
230,AZ-22_S148,AZ-19_S144,0.675884961121922,Plaque
231,AZ-23_S149,AZ-19_S144,0.693218378447496,Plaque
232,AZ-24_S150,AZ-19_S144,0.689206170933494,Plaque
233,AZ-25_S151,AZ-19_S144,0.723208739628913,Plaque
234,AZ-3_S152,AZ-19_S144,0.67883695955383,Plaque
235,AZ-4_S153,AZ-19_S144,0.682047083271153,Plaque
236,AZ-5_S154,AZ-19_S144,0.640373974949996,Plaque
237,AZ-6_S155,AZ-19_S144,0.666727853777134,Plaque
238,AZ-7_S156,AZ-19_S144,0.661565805309261,Plaque
239,AZ-9_S157,AZ-19_S144,0.66650102276666,Plaque
240,ML-8_S158,AZ-19_S144,0.672980838322839,Plaque
252,AZ-20_S146,AZ-2_S145,0.693943628793708,Plaque
253,AZ-21_S147,AZ-2_S145,0.721462999553883,Plaque
254,AZ-22_S148,AZ-2_S145,0.663148614575188,Plaque
255,AZ-23_S149,AZ-2_S145,0.654995630305062,Plaque
256,AZ-24_S150,AZ-2_S145,0.762790828280259,Plaque
257,AZ-25_S151,AZ-2_S145,0.66450106324735,Plaque
258,AZ-3_S152,AZ-2_S145,0.704355682972553,Plaque
259,AZ-4_S153,AZ-2_S145,0.707820470725409,Plaque
260,AZ-5_S154,AZ-2_S145,0.712468515128823,Plaque
261,AZ-6_S155,AZ-2_S145,0.710107343170856,Plaque
262,AZ-7_S156,AZ-2_S145,0.689111345578094,Plaque
263,AZ-9_S157,AZ-2_S145,0.66880627481646,Plaque
264,ML-8_S158,AZ-2_S145,0.783383831583286,Plaque
277,AZ-21_S147,AZ-20_S146,0.709326274684929,Plaque
278,AZ-22_S148,AZ-20_S146,0.646317666067624,Plaque
279,AZ-23_S149,AZ-20_S146,0.694341097560038,Plaque
280,AZ-24_S150,AZ-20_S146,0.712152567920412,Plaque
281,AZ-25_S151,AZ-20_S146,0.691645812812748,Plaque
282,AZ-3_S152,AZ-20_S146,0.606312568830156,Plaque
283,AZ-4_S153,AZ-20_S146,0.650402480441278,Plaque
284,AZ-5_S154,AZ-20_S146,0.644064664169696,Plaque
285,AZ-6_S155,AZ-20_S146,0.641982567667053,Plaque
286,AZ-7_S156,AZ-20_S146,0.634963040362836,Plaque
287,AZ-9_S157,AZ-20_S146,0.676769749894596,Plaque
288,ML-8_S158,AZ-20_S146,0.729143842785399,Plaque
302,AZ-22_S148,AZ-21_S147,0.650639601037794,Plaque
303,AZ-23_S149,AZ-21_S147,0.678711779849296,Plaque
304,AZ-24_S150,AZ-21_S147,0.630424482713884,Plaque
305,AZ-25_S151,AZ-21_S147,0.602070958050477,Plaque
306,AZ-3_S152,AZ-21_S147,0.667070068071868,Plaque
307,AZ-4_S153,AZ-21_S147,0.619813683146126,Plaque
308,AZ-5_S154,AZ-21_S147,0.60438016810025,Plaque
309,AZ-6_S155,AZ-21_S147,0.615644815774221,Plaque
310,AZ-7_S156,AZ-21_S147,0.611936491066967,Plaque
311,AZ-9_S157,AZ-21_S147,0.600610837004443,Plaque
312,ML-8_S158,AZ-21_S147,0.695172806176039,Plaque
327,AZ-23_S149,AZ-22_S148,0.670740035394325,Plaque
328,AZ-24_S150,AZ-22_S148,0.686801328054646,Plaque
329,AZ-25_S151,AZ-22_S148,0.665643447810841,Plaque
330,AZ-3_S152,AZ-22_S148,0.621672821401747,Plaque
331,AZ-4_S153,AZ-22_S148,0.620378950969278,Plaque
332,AZ-5_S154,AZ-22_S148,0.605158911261035,Plaque
333,AZ-6_S155,AZ-22_S148,0.618317804425498,Plaque
334,AZ-7_S156,AZ-22_S148,0.613850450334669,Plaque
335,AZ-9_S157,AZ-22_S148,0.653059893224367,Plaque
336,ML-8_S158,AZ-22_S148,0.710449733488373,Plaque
352,AZ-24_S150,AZ-23_S149,0.696455950983124,Plaque
353,AZ-25_S151,AZ-23_S149,0.648767775811605,Plaque
354,AZ-3_S152,AZ-23_S149,0.667504335155876,Plaque
355,AZ-4_S153,AZ-23_S149,0.690418657154999,Plaque
356,AZ-5_S154,AZ-23_S149,0.663558511893889,Plaque
357,AZ-6_S155,AZ-23_S149,0.67967778841724,Plaque
358,AZ-7_S156,AZ-23_S149,0.638095976648002,Plaque
359,AZ-9_S157,AZ-23_S149,0.650438852449632,Plaque
360,ML-8_S158,AZ-23_S149,0.739785305381343,Plaque
377,AZ-25_S151,AZ-24_S150,0.6826694741255,Plaque
378,AZ-3_S152,AZ-24_S150,0.704874201769506,Plaque
379,AZ-4_S153,AZ-24_S150,0.677022792725588,Plaque
380,AZ-5_S154,AZ-24_S150,0.63635702929992,Plaque
381,AZ-6_S155,AZ-24_S150,0.66176782194579,Plaque
382,AZ-7_S156,AZ-24_S150,0.612748915907195,Plaque
383,AZ-9_S157,AZ-24_S150,0.66021177077907,Plaque
384,ML-8_S158,AZ-24_S150,0.652646548251263,Plaque
402,AZ-3_S152,AZ-25_S151,0.680956275122515,Plaque
403,AZ-4_S153,AZ-25_S151,0.632235613419001,Plaque
404,AZ-5_S154,AZ-25_S151,0.655185297461008,Plaque
405,AZ-6_S155,AZ-25_S151,0.65940200530686,Plaque
406,AZ-7_S156,AZ-25_S151,0.610835583956299,Plaque
407,AZ-9_S157,AZ-25_S151,0.618158829857193,Plaque
408,ML-8_S158,AZ-25_S151,0.750678698584066,Plaque
427,AZ-4_S153,AZ-3_S152,0.65571070817027,Plaque
428,AZ-5_S154,AZ-3_S152,0.60624411535458,Plaque
429,AZ-6_S155,AZ-3_S152,0.635887688207807,Plaque
430,AZ-7_S156,AZ-3_S152,0.602184846174004,Plaque
431,AZ-9_S157,AZ-3_S152,0.645006449477195,Plaque
432,ML-8_S158,AZ-3_S152,0.698344571045776,Plaque
452,AZ-5_S154,AZ-4_S153,0.602033286573933,Plaque
453,AZ-6_S155,AZ-4_S153,0.627137677762334,Plaque
454,AZ-7_S156,AZ-4_S153,0.609420224691124,Plaque
455,AZ-9_S157,AZ-4_S153,0.674468756846689,Plaque
456,ML-8_S158,AZ-4_S153,0.737934103538689,Plaque
477,AZ-6_S155,AZ-5_S154,0.587743170810273,Plaque
478,AZ-7_S156,AZ-5_S154,0.580714192029575,Plaque
479,AZ-9_S157,AZ-5_S154,0.644027664688793,Plaque
480,ML-8_S158,AZ-5_S154,0.652810447040486,Plaque
502,AZ-7_S156,AZ-6_S155,0.591249104698876,Plaque
503,AZ-9_S157,AZ-6_S155,0.656015041169733,Plaque
504,ML-8_S158,AZ-6_S155,0.634741131182718,Plaque
527,AZ-9_S157,AZ-7_S156,0.616121841751437,Plaque
528,ML-8_S158,AZ-7_S156,0.653819599672717,Plaque
552,ML-8_S158,AZ-9_S157,0.691094960284297,Plaque
578,AZ-11-RS_S293,AZ-10-RS_S292,0.655023705987787,Stool
579,AZ-12-RS_S294,AZ-10-RS_S292,0.686131574156709,Stool
580,AZ-13-RS_S295,AZ-10-RS_S292,0.674803143573373,Stool
581,AZ-14-RS_S296,AZ-10-RS_S292,0.681521287347899,Stool
582,AZ-15-RS_S297,AZ-10-RS_S292,0.640614323411321,Stool
583,AZ-16-RS_S298,AZ-10-RS_S292,0.836317064985808,Stool
584,AZ-17-RS_S299,AZ-10-RS_S292,0.645207570771296,Stool
585,AZ-18-RS_S300,AZ-10-RS_S292,0.725859990327408,Stool
586,AZ-19-RS_S301,AZ-10-RS_S292,0.759419855759633,Stool
587,AZ-2-RS_S302,AZ-10-RS_S292,0.706400963669138,Stool
588,AZ-23-RS_S303,AZ-10-RS_S292,0.686078846632223,Stool
589,AZ-24-RS_S304,AZ-10-RS_S292,0.692227772353599,Stool
590,AZ-25-RS_S305,AZ-10-RS_S292,0.750773032402794,Stool
591,AZ-6-RS_S306,AZ-10-RS_S292,0.736023281671019,Stool
592,AZ-7-RS_S307,AZ-10-RS_S292,0.679313948876504,Stool
593,AZ-8-RS_S308,AZ-10-RS_S292,0.657015021723171,Stool
594,AZ-9-RS_S309,AZ-10-RS_S292,0.707547197665232,Stool
597,AZ-12-RS_S294,AZ-11-RS_S293,0.557079357998432,Stool
598,AZ-13-RS_S295,AZ-11-RS_S293,0.774601569265289,Stool
599,AZ-14-RS_S296,AZ-11-RS_S293,0.478030491092593,Stool
600,AZ-15-RS_S297,AZ-11-RS_S293,0.604828068658295,Stool
601,AZ-16-RS_S298,AZ-11-RS_S293,0.750894350989531,Stool
602,AZ-17-RS_S299,AZ-11-RS_S293,0.690300893563151,Stool
603,AZ-18-RS_S300,AZ-11-RS_S293,0.721579719633233,Stool
604,AZ-19-RS_S301,AZ-11-RS_S293,0.634170763539801,Stool
605,AZ-2-RS_S302,AZ-11-RS_S293,0.603320255780028,Stool
606,AZ-23-RS_S303,AZ-11-RS_S293,0.554797599536965,Stool
607,AZ-24-RS_S304,AZ-11-RS_S293,0.581692064044063,Stool
608,AZ-25-RS_S305,AZ-11-RS_S293,0.616169186948499,Stool
609,AZ-6-RS_S306,AZ-11-RS_S293,0.539727906361552,Stool
610,AZ-7-RS_S307,AZ-11-RS_S293,0.606504954466633,Stool
611,AZ-8-RS_S308,AZ-11-RS_S293,0.524872804227168,Stool
612,AZ-9-RS_S309,AZ-11-RS_S293,0.537478219825403,Stool
616,AZ-13-RS_S295,AZ-12-RS_S294,0.793486516389253,Stool
617,AZ-14-RS_S296,AZ-12-RS_S294,0.553233668921275,Stool
618,AZ-15-RS_S297,AZ-12-RS_S294,0.714012120202993,Stool
619,AZ-16-RS_S298,AZ-12-RS_S294,0.690521622325097,Stool
620,AZ-17-RS_S299,AZ-12-RS_S294,0.756555929828182,Stool
621,AZ-18-RS_S300,AZ-12-RS_S294,0.712983217225713,Stool
622,AZ-19-RS_S301,AZ-12-RS_S294,0.583493588279565,Stool
623,AZ-2-RS_S302,AZ-12-RS_S294,0.585689552920218,Stool
624,AZ-23-RS_S303,AZ-12-RS_S294,0.57560859937754,Stool
625,AZ-24-RS_S304,AZ-12-RS_S294,0.581704782947974,Stool
626,AZ-25-RS_S305,AZ-12-RS_S294,0.590598179455657,Stool
627,AZ-6-RS_S306,AZ-12-RS_S294,0.574078932509278,Stool
628,AZ-7-RS_S307,AZ-12-RS_S294,0.550860195493195,Stool
629,AZ-8-RS_S308,AZ-12-RS_S294,0.590570413250534,Stool
630,AZ-9-RS_S309,AZ-12-RS_S294,0.548390665794637,Stool
635,AZ-14-RS_S296,AZ-13-RS_S295,0.792973075311134,Stool
636,AZ-15-RS_S297,AZ-13-RS_S295,0.694132537356551,Stool
637,AZ-16-RS_S298,AZ-13-RS_S295,0.858398651783945,Stool
638,AZ-17-RS_S299,AZ-13-RS_S295,0.723205001707656,Stool
639,AZ-18-RS_S300,AZ-13-RS_S295,0.736288874625859,Stool
640,AZ-19-RS_S301,AZ-13-RS_S295,0.817575473307638,Stool
641,AZ-2-RS_S302,AZ-13-RS_S295,0.816048259131484,Stool
642,AZ-23-RS_S303,AZ-13-RS_S295,0.742380776622054,Stool
643,AZ-24-RS_S304,AZ-13-RS_S295,0.745090044600352,Stool
644,AZ-25-RS_S305,AZ-13-RS_S295,0.8187288927559,Stool
645,AZ-6-RS_S306,AZ-13-RS_S295,0.821599463135312,Stool
646,AZ-7-RS_S307,AZ-13-RS_S295,0.797695514893265,Stool
647,AZ-8-RS_S308,AZ-13-RS_S295,0.716957810188938,Stool
648,AZ-9-RS_S309,AZ-13-RS_S295,0.799657821733444,Stool
654,AZ-15-RS_S297,AZ-14-RS_S296,0.667816344494339,Stool
655,AZ-16-RS_S298,AZ-14-RS_S296,0.740453880876735,Stool
656,AZ-17-RS_S299,AZ-14-RS_S296,0.680810807448402,Stool
657,AZ-18-RS_S300,AZ-14-RS_S296,0.692897405839762,Stool
658,AZ-19-RS_S301,AZ-14-RS_S296,0.644924932869027,Stool
659,AZ-2-RS_S302,AZ-14-RS_S296,0.587342835925492,Stool
660,AZ-23-RS_S303,AZ-14-RS_S296,0.56034175732903,Stool
661,AZ-24-RS_S304,AZ-14-RS_S296,0.568797062327488,Stool
662,AZ-25-RS_S305,AZ-14-RS_S296,0.558365352328169,Stool
663,AZ-6-RS_S306,AZ-14-RS_S296,0.509548586882602,Stool
664,AZ-7-RS_S307,AZ-14-RS_S296,0.549330388701469,Stool
665,AZ-8-RS_S308,AZ-14-RS_S296,0.553579980890128,Stool
666,AZ-9-RS_S309,AZ-14-RS_S296,0.55042790804364,Stool
673,AZ-16-RS_S298,AZ-15-RS_S297,0.796692925818841,Stool
674,AZ-17-RS_S299,AZ-15-RS_S297,0.64612970398224,Stool
675,AZ-18-RS_S300,AZ-15-RS_S297,0.701493080317851,Stool
676,AZ-19-RS_S301,AZ-15-RS_S297,0.707304116613073,Stool
677,AZ-2-RS_S302,AZ-15-RS_S297,0.63312784153085,Stool
678,AZ-23-RS_S303,AZ-15-RS_S297,0.602472056756453,Stool
679,AZ-24-RS_S304,AZ-15-RS_S297,0.672977306523344,Stool
680,AZ-25-RS_S305,AZ-15-RS_S297,0.685479389600957,Stool
681,AZ-6-RS_S306,AZ-15-RS_S297,0.646425362867056,Stool
682,AZ-7-RS_S307,AZ-15-RS_S297,0.636927652999367,Stool
683,AZ-8-RS_S308,AZ-15-RS_S297,0.615615122437239,Stool
684,AZ-9-RS_S309,AZ-15-RS_S297,0.606299823564022,Stool
692,AZ-17-RS_S299,AZ-16-RS_S298,0.866005236622123,Stool
693,AZ-18-RS_S300,AZ-16-RS_S298,0.823213489307459,Stool
694,AZ-19-RS_S301,AZ-16-RS_S298,0.629998510871927,Stool
695,AZ-2-RS_S302,AZ-16-RS_S298,0.677234592814624,Stool
696,AZ-23-RS_S303,AZ-16-RS_S298,0.722335236348599,Stool
697,AZ-24-RS_S304,AZ-16-RS_S298,0.769488578078577,Stool
698,AZ-25-RS_S305,AZ-16-RS_S298,0.766167022201133,Stool
699,AZ-6-RS_S306,AZ-16-RS_S298,0.685944644463042,Stool
700,AZ-7-RS_S307,AZ-16-RS_S298,0.675466807977825,Stool
701,AZ-8-RS_S308,AZ-16-RS_S298,0.768584093982038,Stool
702,AZ-9-RS_S309,AZ-16-RS_S298,0.665399235473538,Stool
711,AZ-18-RS_S300,AZ-17-RS_S299,0.606098795934957,Stool
712,AZ-19-RS_S301,AZ-17-RS_S299,0.809272010106375,Stool
713,AZ-2-RS_S302,AZ-17-RS_S299,0.784675484033973,Stool
714,AZ-23-RS_S303,AZ-17-RS_S299,0.690419818136572,Stool
715,AZ-24-RS_S304,AZ-17-RS_S299,0.687868221534432,Stool
716,AZ-25-RS_S305,AZ-17-RS_S299,0.708545077420808,Stool
717,AZ-6-RS_S306,AZ-17-RS_S299,0.757342552348886,Stool
718,AZ-7-RS_S307,AZ-17-RS_S299,0.74120508206657,Stool
719,AZ-8-RS_S308,AZ-17-RS_S299,0.70393736024874,Stool
720,AZ-9-RS_S309,AZ-17-RS_S299,0.717268777564461,Stool
730,AZ-19-RS_S301,AZ-18-RS_S300,0.763610400470108,Stool
731,AZ-2-RS_S302,AZ-18-RS_S300,0.779234980144772,Stool
732,AZ-23-RS_S303,AZ-18-RS_S300,0.689867027582152,Stool
733,AZ-24-RS_S304,AZ-18-RS_S300,0.70197091895644,Stool
734,AZ-25-RS_S305,AZ-18-RS_S300,0.694550315837022,Stool
735,AZ-6-RS_S306,AZ-18-RS_S300,0.708434016599565,Stool
736,AZ-7-RS_S307,AZ-18-RS_S300,0.738733227650699,Stool
737,AZ-8-RS_S308,AZ-18-RS_S300,0.724612001243106,Stool
738,AZ-9-RS_S309,AZ-18-RS_S300,0.713409769963699,Stool
749,AZ-2-RS_S302,AZ-19-RS_S301,0.568879776076733,Stool
750,AZ-23-RS_S303,AZ-19-RS_S301,0.624209854675972,Stool
751,AZ-24-RS_S304,AZ-19-RS_S301,0.686181713522292,Stool
752,AZ-25-RS_S305,AZ-19-RS_S301,0.683184410274244,Stool
753,AZ-6-RS_S306,AZ-19-RS_S301,0.591468296294323,Stool
754,AZ-7-RS_S307,AZ-19-RS_S301,0.60760054910808,Stool
755,AZ-8-RS_S308,AZ-19-RS_S301,0.643207150530272,Stool
756,AZ-9-RS_S309,AZ-19-RS_S301,0.57536963425898,Stool
768,AZ-23-RS_S303,AZ-2-RS_S302,0.588466707201672,Stool
769,AZ-24-RS_S304,AZ-2-RS_S302,0.649748513249909,Stool
770,AZ-25-RS_S305,AZ-2-RS_S302,0.663046333468254,Stool
